source_pdf,authors,year,title,journal,pmid,doi
Edinburgh Infectious Diseases publications 2011 2.pdf,Santhosh,2011,"Trust and the regulation of 
pharmaceuticals: South Asia in a globalised world",Global Health,26639702,"DOI:
    
  

      10.3233/JRS-150681"
Edinburgh Infectious Diseases publications 2011 2.pdf,Knox,2011,Ups and downs of RNA interference in parasitic nematodes,Exp Parasitol,27238014,"DOI:
    
  

      10.1016/bs.apar.2016.02.017"
Edinburgh Infectious Diseases publications 2011 2.pdf,Ait -Ali,2011,"An intronic polymorphism in the porcine IRF7 gene is associated with  
better health and immunity of the host during Sarcocystis infection, and affects interferon signalling","Anim 
Genet",21095184,"DOI:
    
  

      10.1016/j.exppara.2010.11.007"
Edinburgh Infectious Diseases publications 2011 2.pdf,Rozen,2011,"Next -generation sequencing as a tool to study microbial 
evolution",Mol Ecol,20874764,"DOI:
    
  

      10.1111/j.1365-294X.2010.04835.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Horne,2011,Laboratory models for studying ectopic pregnancy,"Curr Opin Obstet 
Gynecol",21666470,"DOI:
    
  

      10.1097/GCO.0b013e3283481212"
Edinburgh Infectious Diseases publications 2011 2.pdf,Ball,2011,"Intercompartmental recombination of HIV -
1 contributes to env intrahost diversity and modulates viral tropism and sensitivity to entry inhibitors",J Virol,18312646,"DOI:
    
  

      10.1186/1742-4690-5-23"
Edinburgh Infectious Diseases publications 2011 2.pdf,Levin,2011,"Social dilemmas among supergenes: intragenomic sexual conflict and a 
selfing solution in Oenothera",Evolution,21448231,"DOI:
    
  

      10.1038/hdy.2010.171"
Edinburgh Infectious Diseases publications 2011 2.pdf,Glaser,2011,"Complete genome sequence of the animal 
pathogen Listeria ivanovii, which provides  insights into host specificities and evolution of the genus Listeria","J 
Bacteriol",30570448,"DOI:
    
  

      10.1089/vbz.2018.2317"
Edinburgh Infectious Diseases publications 2011 2.pdf,Shi,2011,Towards validated assays for key immunological outcomes in malaria vaccine development,Vaccine,19691560,"DOI:
    
  

      10.1111/j.1365-3024.2009.01144.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Woolhouse,2011,"Relationship between clinical signs and transmission of an infectious 
disease and the implications for cont rol",Science,23822567,"DOI:
    
  

      10.1186/1297-9716-44-46"
Edinburgh Infectious Diseases publications 2011 2.pdf,Zhu,2011,"Ascaris suum: 
RNAi mediated silencing of enolase gene expression in infective larvae",Exp Parasitol,20717832,"DOI:
    
  

      10.1007/s00436-010-2027-3"
Edinburgh Infectious Diseases publications 2011 2.pdf,Rees,2011,"Predicting trait values and 
measuring selection in complex life histories: reproductive allocation decisions in Soay sheep",Ecol Lett,15807429,
Edinburgh Infectious Diseases publications 2011 2.pdf,Rowe,2011,"Design of a variant surface 
antigen -supplemented microarray chip for whole transcriptome analysis of multiple Plasmodium falciparum 
cytoadherent strains, and identification of s train -transcendent rif and stevor genes",Malar J,23166704,"DOI:
    
  

      10.1371/journal.pone.0049540"
Edinburgh Infectious Diseases publications 2011 2.pdf,Kruuk,2011,"Variances and 
covariances of phenological traits in a wild mammal population",Evolution,17597758,"DOI:
    
  

      10.1038/nature05912"
Edinburgh Infectious Diseases publications 2011 2.pdf,"Collins, S",2011,Competition limits adaptation and productivity in a photosynthetic alga at elevated CO2,"Proc 
Biol Sci",16913870,"DOI:
    
  

      10.1111/j.1365-3040.2006.01559.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Houdijk,2011,"Interactive effects of 
protein nutrition, genetic growth potential and Heligmosomoides bakeri infection pressure on resilience and 
resistance in mice",Parasitology,19523257,"DOI:
    
  

      10.1017/S0031182009006428"
Edinburgh Infectious Diseases publications 2011 2.pdf,Maskell,2011,"Transmission and dose -response experiments for social animals: a reappraisal of the 
colonization biology of Campylobacter jejuni in c hickens",J R Soc Interface,8760971,"DOI:
    
  

      10.1017/s0950268800001333"
Edinburgh Infectious Diseases publications 2011 2.pdf,Morrison,2011,"NKp46 
defines ovine cells that have characteristics corresponding to NK cells",Vet Res,19755096,"DOI:
    
  

      10.1051/vetres/2009052"
Edinburgh Infectious Diseases publications 2011 2.pdf,Cavanagh,2011,"A 
malaria vaccine based on the polymorphic block 2 region of MSP -1 that elicits a broad serotype -spanning 
immune response",PLoS One,28877929,"DOI:
    
  

      10.1128/CVI.00155-17"
Edinburgh Infectious Diseases publications 2011 2.pdf,Charleston,2011,"Differential effects of viral vectors on migratory afferent lymph dendritic cells in vitro predict enhanced 
immunogenicity in vivo",J Virol,22419811,"DOI:
    
  

      10.1128/JVI.00264-12"
Edinburgh Infectious Diseases publications 2011 2.pdf,Fitzgerald,2011,"Platelet receptor polymorphisms do not influence Staphylococcus 
aureusplatelet interactions or infective endoc arditis",Microbes Infect,22918726,"DOI:
    
  

      10.1007/978-3-642-29423-5_2"
Edinburgh Infectious Diseases publications 2011 2.pdf,Salanti,2011,"The chondroitin sulfate A -binding site of the VAR2CSA protein involves 
multiple N -terminal domains",J Biol Chem,22570492,"DOI:
    
  

      10.1074/jbc.M112.348839"
Edinburgh Infectious Diseases publications 2011 2.pdf,Vazquez -Boland,2011,"Regulation of Listeria virulence: PrfA 
master and commander",Curr Opin Microbiol,17661688,"DOI:
    
  

      10.2217/17460913.1.1.89"
Edinburgh Infectious Diseases publications 2011 2.pdf,French,2011,"A pH -based biosensor for 
detection of arsenic in drinking water",Anal Bioanal Chem,19085061,"DOI:
    
  

      10.1007/s10653-008-9231-4"
Edinburgh Infectious Diseases publications 2011 2.pdf,Little,2011,"Candidate innate immune system gene 
expression in the ecological model Daphnia",Dev Comp Immunol,19103220,"DOI:
    
  

      10.1016/j.dci.2008.11.012"
Edinburgh Infectious Diseases publications 2011 2.pdf,Bradley,2011,"Multi -modal molecular imaging approaches to 
detect primary cells in preclinical models",Faraday Discuss,27725934,"DOI:
    
  

      10.1155/2016/1946585"
Edinburgh Infectious Diseases publications 2011 2.pdf,Coulson,2011,"The population growth 
consequences of variation in individual heterozygosity",PLoS One,21611172,"DOI:
    
  

      10.1371/journal.pone.0019667"
Edinburgh Infectious Diseases publications 2011 2.pdf,Ferreira,2011,"Understanding the laminated layer of 
larval Echinococcus II: immunology",Trends Parasitol,29253150,"DOI:
    
  

      10.1093/bmb/ldx033"
Edinburgh Infectious Diseases publications 2011 2.pdf,Villanueva,2011,"Implications of host genetic variation on the risk and prevalence of infectious diseases transmitted through 
the environment",Genetics,10451731,"DOI:
    
  

      10.1111/j.1751-0813.1999.tb12091.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Kerman,2011,"Electrochemical detection of 
interaction between Thioflavin T and acetylcholinesterase",Analyst,15141101,"DOI:
    
  

      10.1093/toxsci/kfh163"
Edinburgh Infectious Diseases publications 2011 2.pdf,Thompson,2011,"Plasmodium Cysteine Repeat Modular Proteins 3 and 4 are essential for malaria parasite transmission 
from the mosquito to the host",Malar J,17253978,"DOI:
    
  

      10.1111/j.1462-5822.2006.00885.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Horne,2011,"Ectopic pregnancy as 
a model to identify endometrial genes and signaling pathways important in decidualization and regulated by 
local trophoblast",PLoS One,19282327,"DOI:
    
  

      10.1093/molehr/gap019"
Edinburgh Infectious Diseases publications 2011 2.pdf,Davey,2011,"The chicken polydactyly (Po) locus causes allelic imbalance and ectopic 
expression of Shh during limb  development",Dev Dyn,24907417,"DOI:
    
  

      10.1016/j.ydbio.2014.05.025"
Edinburgh Infectious Diseases publications 2011 2.pdf,Turner,2011,"Design and synthesis of conformationally constrained cyclophilin inhibitors 
showing a cyclosporin -A phenotype in C",elegans,17927958,"DOI:
    
  

      10.1016/j.bbrc.2007.09.079"
Edinburgh Infectious Diseases publications 2011 2.pdf,Michels,2011,Autophagy in protists,Autophagy,34069694,"DOI:
    
  

      10.3390/cells10051258"
Edinburgh Infectious Diseases publications 2011 2.pdf,Mellanby,2011,"Immunohistochemical characterization 
of lymphocyte and myeloid cell infiltrates in spirocercosis -induced oesophageal nodules",Parasite Immunol,20888695,"DOI:
    
  

      10.1016/j.vetpar.2010.08.032"
Edinburgh Infectious Diseases publications 2011 2.pdf,Stevens,2011,"Retrospective application of transposon -directed insertion site sequencing to a library of 
signature -tagged mini -Tn5Km2 m utants of Escherichia coli O157:H7 screened in cattle",J Bacteriol,15528651,"DOI:
    
  

      10.1099/mic.0.27448-0"
Edinburgh Infectious Diseases publications 2011 2.pdf,Shapiro,2011,Ancient hybridization and an Irish origin for the modern polar bear matriline,Curr Biol,29471451,"DOI:
    
  

      10.1093/molbev/msy018"
Edinburgh Infectious Diseases publications 2011 2.pdf,Campbell,2011,"Fast DNA and protein microarray tests 
for the diagnosis of hepatitis  C virus infection on a single platform",Anal Bioanal Chem,16427802,"DOI:
    
  

      10.1016/j.jcv.2005.12.003"
Edinburgh Infectious Diseases publications 2011 2.pdf,Sharp,2011,"Impact of translational selection on codon usage bias in the archaeon 
Methanococcus maripaludis",Biol Lett,17720835,"DOI:
    
  

      10.1128/AEM.01324-07"
Edinburgh Infectious Diseases publications 2011 2.pdf,Angulo,2011,"Human cytomegalovirus 
UL7, a homologue of the SLAM -family receptor CD229, impairs cytokine production",Immunol Cell Biol,26339044,"DOI:
    
  

      10.1128/JVI.01296-15"
Edinburgh Infectious Diseases publications 2011 2.pdf,Amyes,2011,"High prevalence of unrelated 
multidrug -resistant Acinetobacter baumannii isolates in Pakistani military hospitals",Int J Antimicrob Agents,24657045,"DOI:
    
  

      10.1016/j.ijantimicag.2014.02.001"
Edinburgh Infectious Diseases publications 2011 2.pdf,Fairweather,2011,"A proposed 
nomenclature for cell wall proteins of Clostridium difficile",J Med Microbiol,26283789,"DOI:
    
  

      10.1074/jbc.M115.665091"
Edinburgh Infectious Diseases publications 2011 2.pdf,Hume,2011,"The mononuclear phagocyte system of the pig 
as a model for understanding human innate immunity and disease",J Leukoc Biol,32881079,"DOI:
    
  

      10.1111/evj.13341"
Edinburgh Infectious Diseases publications 2011 2.pdf,Lemey,2011,"Toward a quantitative understanding of viral 
phylogeography",Curr Opin Virol,18785840,"DOI:
    
  

      10.1146/annurev.micro.62.081307.162912"
Edinburgh Infectious Diseases publications 2011 2.pdf,Costi,2011,"Virtual screening identification of nonfolate 
compounds, including a CNS dr ug, as antiparasitic agents inhibiting pteridine reductase",J Med Chem,22946585,"DOI:
    
  

      10.1021/jm300563f"
Edinburgh Infectious Diseases publications 2011 2.pdf,Wallace,2011,"Oxidative damage and TGF -beta differentially induce lung 
epithelial cell sonic hedgehog and tenascin -C expression: implications for the regulation of lung remodelling in 
idiopathic interstitial lung disease",Int J Exp Pathol,8756830,"DOI:
    
  

      10.1164/ajrccm.154.2.8756830"
Edinburgh Infectious Diseases publications 2011 2.pdf,Barran,2011,Evidence for alpha -helices in the gas phase: a case study using Melittin from honey bee venom,Analyst,16905347,"DOI:
    
  

      10.1016/j.jmgm.2006.06.006"
Edinburgh Infectious Diseases publications 2011 2.pdf,Digard,2011,"Influence of PB2 
hostrange determinants on the intranuclear mobility of the influenza A virus polymerase",J Gen Virol,18692771,"DOI:
    
  

      10.1016/j.chom.2008.06.007"
Edinburgh Infectious Diseases publications 2011 2.pdf,Smith,2011,"Phosphorylation of 
the epidermal growth factor receptor (EGFR) is essential for interleukin -8 release from intestinal epithelial 
cells in response to challenge with E scherichia coli O157 : H7 flagellin",Microbiology,29934223,"DOI:
    
  

      10.1016/j.ijmm.2018.06.004"
Edinburgh Infectious Diseases publications 2011 2.pdf,Haas,2011,Virus -host interactomes and global models of virus -infected cells,"Trends 
Microbiol",21855347,"DOI:
    
  

      10.1016/j.tim.2011.07.003"
Edinburgh Infectious Diseases publications 2011 2.pdf,Walkinshaw,2011,"Phosphoglycerate mutase from Trypanosoma brucei is hyperactivated by cobalt in vitro, 
but not in vivo",Metallomics,22458781,"DOI:
    
  

      10.1111/j.1742-4658.2012.08586.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Giuffra,2011,"Strengthening insights into  host responses to mastitis infection in ruminants by combining 
heterogeneous microarray data sources",BMC Genomics,23324411,"DOI:
    
  

      10.1186/1471-2164-14-36"
Edinburgh Infectious Diseases publications 2011 2.pdf,Kluth,2011,"The in silico macrophage: toward a better 
understanding of inflammatory disease",Genome Med,32251779,"DOI:
    
  

      10.1016/j.actbio.2020.03.041"
Edinburgh Infectious Diseases publications 2011 2.pdf,Rowe,2011,"Immunisation 
with recombinant PfEMP1 domains elicits functional rosette -inhibiting and phagocytosis -inducing antibodies 
to Plasmodium falciparum",PLoS One,27531359,"DOI:
    
  

      10.1186/s12936-016-1459-3"
Edinburgh Infectious Diseases publications 2011 2.pdf,Azzi,2011,"Packaging signals in the 5' -ends of influenza virus PA, PB1, and PB2 genes as potential targets to 
develop nucleic -acid based antivir al molecules",Antiviral Res,19370391,"DOI:
    
  

      10.1007/s00705-009-0380-2"
Edinburgh Infectious Diseases publications 2011 2.pdf,Forbes,2011,"Ly6Chi 
monocytes direct alternatively a ctivated profibrotic macrophage regulation of lung fibrosis","Am J Respir Crit 
Care Med",21885631,"DOI:
    
  

      10.1164/rccm.201107-1343ED"
Edinburgh Infectious Diseases publications 2011 2.pdf,Bachmann,2011,"Dielectrophoretic manipulation of ribosomal 
RNA",Biomicrofluidics,25640705,"DOI:
    
  

      10.1002/elps.201400315"
Edinburgh Infectious Diseases publications 2011 2.pdf,Beard,2011,"Fatal cowpox virus infection in two squirrel monkeys 
(Saimiri sciureus)",Vet Rec,9433702,
Edinburgh Infectious Diseases publications 2011 2.pdf,Ross,2011,"Heat -shock protein 60 translocates to the surface of apoptotic cells and differentiated megakaryocytes and 
stimulates phagocytosis",Cell Mol Life Sci,38791521,"DOI:
    
  

      10.3390/ijms25105483"
Edinburgh Infectious Diseases publications 2011 2.pdf,Leen,2011,Late diagnosis of HIV: could this be avoided? Scott Med J,56:84 -86,21424942,"DOI:
    
  

      10.1080/09540121.2010.534436"
Edinburgh Infectious Diseases publications 2011 2.pdf,Gill,2011,"Na+/K+ -ATPase is present in scrapie -associated fibrils, modulates PrP misfolding in vitro and links PrP function 
and dysfunction",PLoS One,19459939,"DOI:
    
  

      10.1111/j.1742-4658.2009.07007.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Nguyen -Van-Tam,2011,"Survival of influenza A(H1N1) on materials found in households:  
implications for infection control",PLoS One,26994082,"DOI:
    
  

      10.1128/AEM.04046-15"
Edinburgh Infectious Diseases publications 2011 2.pdf,Hooper,2011,"Prion protein interacts with BACE1 protein and differentially regulates its 
activity toward wild type and Swed ish mutant amyloid precursor protein",J Biol Chem,22449984,"DOI:
    
  

      10.4161/pri.18988"
Edinburgh Infectious Diseases publications 2011 2.pdf,Fitzgerald,2011,"The role of horizontal gene transfer in Staphylococcus 
aureus host adaptation",Virulence,21555917,"DOI:
    
  

      10.4161/viru.2.3.16193"
Edinburgh Infectious Diseases publications 2011 2.pdf,Clayton,2011,"Song exposure regulates known and novel 
microRNAs in the zebra finch auditory  forebrain",BMC Genomics,29274763,"DOI:
    
  

      10.1016/j.beproc.2017.12.022"
Edinburgh Infectious Diseases publications 2011 2.pdf,Bakker,2011,"A domino effect in drug action: from metabolic 
assault towards parasite differentiati on",Mol Microbiol,25946070,"DOI:
    
  

      10.1371/journal.ppat.1004875"
Edinburgh Infectious Diseases publications 2011 2.pdf,Kruuk,2011,"Cryptic evolution: does environmental deterioration have a 
genetic basis? Genetics",187:1099 -1113,23443060,"DOI:
    
  

      10.1038/hdy.2013.7"
