pmid,title,doi
32751663,Expression Profiles of Exosomal MicroRNAs from HEV- and HCV-Infected Blood Donors and Patients: A Pilot Study.,10.3390/v12080833
32205138,The index case of SARS-CoV-2 in Scotland.,10.1016/j.jinf.2020.03.022
32735547,Can Robots Improve Testing Capacity for SARS-CoV-2?,10.2196/20169
32706830,Timelines of infection and transmission dynamics of H1N1pdm09 in swine.,10.1371/journal.ppat.1008628
32640581,Prevalence of Disease and Age-Related Behavioural Changes in Cats: Past and Present.,10.3390/vetsci7030085
32702500,One Health: a multifaceted concept combining diverse approaches to prevent and control antimicrobial resistance.,10.1016/j.cmi.2020.07.012
32724171,Evolutionary origins of the SARS-CoV-2 sarbecovirus lineage responsible for the COVID-19 pandemic.,10.1038/s41564-020-0771-4
32572496,Staphylococci among Wild European Rabbits from the Azores: A Potential Zoonotic Issue?,10.4315/0362-028X.JFP-19-423
32636247,Staphylococcus aureus Lipase 1 Enhances Influenza A Virus Replication.,10.1128/mBio.00975-20
32636198,Lessons from Leicester: a covid-19 testing system that's not fit for purpose.,10.1136/bmj.m2690
32687668,Molecular detection of 7SL-derived small RNA is a promising alternative for trypanosomosis diagnosis.,10.1111/tbed.13744
32679683,"Erratum: Chakraborty, P. et al. Macrophages from Susceptible and Resistant Chicken Lines have Different Transcriptomes following Marek's Disease Virus Infection. Genes 2019, 10, 74.",10.3390/genes11070796
32707050,Madin-Darby bovine kidney (MDBK) cells are a suitable cell line for the propagation and study of the bovine poxvirus lumpy skin disease virus.,10.1016/j.jviromet.2020.113943
32663724,Anatomical distribution of respiratory tract leukocyte cell subsets in neonatal calves.,10.1016/j.vetimm.2020.110090
32687523,Stability of β-lactam antibiotics in bacterial growth media.,10.1371/journal.pone.0236198
32647128,"IDEAL, the Infectious Diseases of East African Livestock project open access database and biobank.",10.1038/s41597-020-0559-7
32678530,Dexamethasone in Hospitalized Patients with Covid-19.,10.1056/NEJMoa2021436
32622380,COVID-19 in health-care workers in three hospitals in the south of the Netherlands: a cross-sectional study.,10.1016/S1473-3099(20)30527-2
32659276,Extracellular vesicles from Heligmosomoides bakeri and Trichuris muris contain distinct microRNA families and small RNAs that could underpin different functions in the host.,10.1016/j.ijpara.2020.06.002
32672355,Attempts to induce tolerance to Trichostrongylus colubriformis infection in sheep.,10.1111/pim.12776
32674326,Temperature Sensitivity: A Potential Method for the Generation of Vaccines against the Avian Coronavirus Infectious Bronchitis Virus.,10.3390/v12070754
32751503,Quantitative Microdialysis: Experimental Protocol and Software for Small Molecule Protein Affinity Determination and for Exclusion of Compounds with Poor Physicochemical Properties.,10.3390/mps3030055
32609611,An Interdisciplinary Working Group to Advocate Universal Palliative Care and Pain Relief Access.,10.1089/jpm.2020.0085
32638365,Prediction of colorectal cancer risk based on profiling with common genetic variants.,10.1002/ijc.33191
32689905,Ceratocystis fimbriata Employs a Unique Infection Strategy Targeting Peltate Glandular Trichomes of Sweetpotato (Ipomoea batatas) Plants.,10.1094/PHYTO-05-20-0165-R
32691843,Global Seasonality of Human Seasonal Coronaviruses: A Clue for Postpandemic Circulating Season of Severe Acute Respiratory Syndrome Coronavirus 2?,10.1093/infdis/jiaa436
32726463,"The immune-related, TGA1 redox-switch: to be or not to be?",10.1111/nph.16785
32529045,Surgery for women with endometrioma prior to in vitro fertilisation: proposal for a feasible multicentre randomised clinical trial in the UK.,10.1093/hropen/hoaa012
32597000,Re: Effect of progestogen for women with threatened miscarriage: a systematic review and meta-analysis.,10.1111/1471-0528.16358
32530331,"Helminths, hosts, and their microbiota: new avenues for managing gastrointestinal helminthiases in ruminants.",10.1080/14787210.2020.1782188
32488076,Malaria parasites regulate intra-erythrocytic development duration via serpentine receptor 10 to coordinate with host rhythms.,10.1038/s41467-020-16593-y
32566161,What's the way out? Potential exit strategies from the COVID-19 lockdown.,10.7189/jogh.10.010370
32257153,"Risk factors for Epstein Barr virus-associated cancers: a systematic review, critical appraisal, and mapping of the epidemiological evidence.",10.7189/jogh.10.010405
32561560,Rate of replenishment and microenvironment contribute to the sexually dimorphic phenotype and function of peritoneal macrophages.,10.1126/sciimmunol.abc4466
32535955,A compendium answering 150 questions on COVID-19 and SARS-CoV-2.,10.1111/all.14449
32532799,Development and Validation of an Open Access SNP Array for Nile Tilapia (Oreochromis niloticus).,10.1534/g3.120.401343
32587832,Systems Virology and Human Cytomegalovirus: Using High Throughput Approaches to Identify Novel Host-Virus Interactions During Lytic Infection.,10.3389/fcimb.2020.00280
32565483,Early Pandemic Evaluation and Enhanced Surveillance of COVID-19 (EAVE II): protocol for an observational study using linked Scottish national data.,10.1136/bmjopen-2020-039097
32569640,The potential for vaccines against scour worms of small ruminants.,10.1016/j.ijpara.2020.04.003
32473101,"Minimise, manage, and modify: the UK must create and use time.",10.1016/S0140-6736(20)31055-2
32589758,Dissecting the potential role of hepatitis E virus ORF1 nonstructural gene in cross-species infection by using intergenotypic chimeric viruses.,10.1002/jmv.26226
32487753,Chlorpromazine and Amitriptyline Are Substrates and Inhibitors of the AcrB Multidrug Efflux Pump.,10.1128/mBio.00465-20
32515944,Polymersomes Eradicating Intracellular Bacteria.,10.1021/acsnano.0c01870
32532759,Oxygen provision to fight COVID-19 in sub-Saharan Africa.,10.1136/bmjgh-2020-002786
32145458,Assessment of folate and cobalamin concentrations in relation to their dependent intracellular metabolites in serum of pigs between 6 and 26 weeks of age.,10.1016/j.rvsc.2020.02.002
32257173,An evidence-based framework for priority clinical research questions for COVID-19.,10.7189/jogh.10.011001
32484954,EAACI Biologicals Guidelines-Recommendations for severe asthma.,10.1111/all.14425
32577541,Detection of Toxoplasma gondii in retail meat samples in Scotland.,10.1016/j.fawpar.2020.e00086
32588922,"ARIA-EAACI statement on asthma and COVID-19 (June 2, 2020).",10.1111/all.14471
32595643,The Dichotomous Responses Driven by β-Defensins.,10.3389/fimmu.2020.01176
32559462,Hybrid Gene Origination Creates Human-Virus Chimeric Proteins during Infection.,10.1016/j.cell.2020.05.035
32553050,Mycobacterium bovis genomics reveals transmission of infection between cattle and deer in Ireland.,10.1099/mgen.0.000388
32582139,Developing Novel Host-Based Therapies Targeting Microbicidal Responses in Macrophages and Neutrophils to Combat Bacterial Antimicrobial Resistance.,10.3389/fimmu.2020.00786
32653606,Effects of the levonorgestrel intrauterine system on the endometrium after long-term exposure to mifepristone: Secondary outcomes of a randomized controlled trial.,10.1016/j.ejogrb.2020.06.056
32257166,The disease burden of childhood asthma in China: a systematic review and meta-analysis.,10.7189/jogh.10.01081
32487804,Molecular Patterns in Acute Pancreatitis Reflect Generalizable Endotypes of the Host Response to Systemic Injury in Humans.,10.1097/SLA.0000000000003974
32584441,"Immunology of COVID-19: Mechanisms, clinical outcome, diagnostics, and perspectives-A report of the European Academy of Allergy and Clinical Immunology (EAACI).",10.1111/all.14462
32082546,"Determinants and patterns of care-seeking for childhood illness in rural Pune District, India.",10.7189/jogh.10.010601
32509977,Self-management strategies to consider to combat endometriosis symptoms during the COVID-19 pandemic.,10.1093/hropen/hoaa028
32511416,The emergence of SARS-CoV-2 in Europe and the US.,10.1101/2020.05.21.109322
32601161,A Roadblock-and-Kill Mechanism of Action Model for the DNA-Targeting Antibiotic Ciprofloxacin.,10.1128/AAC.02487-19
32531110,COVID-19 pandemic: Practical considerations on the organization of an allergy clinic-An EAACI/ARIA Position Paper.,10.1111/all.14453
32582198,Influence of the Draining Lymph Nodes and Organized Lymphoid Tissue Microarchitecture on Susceptibility to Intradermal Trypanosoma brucei Infection.,10.3389/fimmu.2020.01118
32595652,To the Skin and Beyond: The Immune Response to African Trypanosomes as They Enter and Exit the Vertebrate Host.,10.3389/fimmu.2020.01250
32599838,Potential Causes of Increased Vocalisation in Elderly Cats with Cognitive Dysfunction Syndrome as Assessed by Their Owners.,10.3390/ani10061092
32580610,Comparison of Doppler ultrasonic and oscillometric devices (with or without proprietary optimisations) for non-invasive blood pressure measurement in conscious cats.,10.1177/1098612X20932407
32596695,"Accommodating individual travel history, global mobility, and unsampled diversity in phylogeography: a SARS-CoV-2 case study.",10.1101/2020.06.22.165464
32569275,Efficacy and safety of single-dose 40 mg/kg oral praziquantel in the treatment of schistosomiasis in preschool-age versus school-age children: An individual participant data meta-analysis.,10.1371/journal.pntd.0008277
32615453,Reflections on IDEAL: What we have learnt from a unique calf cohort study.,10.1016/j.prevetmed.2020.105062
32598439,Whole Blood Profiling of T-cell-Derived microRNA Allows the Development of Prognostic models in Inflammatory Bowel Disease.,10.1093/ecco-jcc/jjaa134
32590227,Prevalence and risk factors associated with failure of transfer of passive immunity in spring born beef suckler calves in Great Britain.,10.1016/j.prevetmed.2020.105059
32574778,Exploratory Use of Fluorescent SmartProbes for the Rapid Detection of Microbial Isolates Causing Corneal Ulcer.,10.1016/j.ajo.2020.06.014
32576161,Efficient CRISPR/Cas9 genome editing in a salmonid fish cell line using a lentivirus delivery system.,10.1186/s12896-020-00626-x
32547861,Developments in marine invertebrate primary culture reveal novel cell morphologies in the model bivalve Crassostrea gigas.,10.7717/peerj.9180
32595642,Molecular Dissection of the Antibody Response: Opportunities and Needs for Application in Cattle.,10.3389/fimmu.2020.01175
32584820,------Widespread conservation and lineage-specific diversification of genome-wide DNA methylation patterns across arthropods.,10.1371/journal.pgen.1008864
32580371,Limited Cross-Protection against Infectious Bronchitis Provided by Recombinant Infectious Bronchitis Viruses Expressing Heterologous Spike Glycoproteins.,10.3390/vaccines8020330
32487248,Defining immune correlates during latent and active chlamydial infection in sheep.,10.1186/s13567-020-00798-6
32569598,"A novel efficient bispecific antibody format, combining a conventional antigen-binding fragment with a single domain antibody, avoids potential heavy-light chain mis-pairing.",10.1016/j.jim.2020.112811
32572598,Enhanced axonal response of mitochondria to demyelination offers neuroprotection: implications for multiple sclerosis.,10.1007/s00401-020-02179-x
32521004,Replication of 15 loci involved in human plasma protein N-glycosylation in 4802 samples from four cohorts.,10.1093/glycob/cwaa053
32569278,Six rounds of annual praziquantel treatment during a national helminth control program significantly reduced schistosome infection and morbidity levels in a cohort of schoolchildren in Zimbabwe.,10.1371/journal.pntd.0008388
32557711,Update on possible animal sources for COVID-19 in humans.,10.1111/xen.12621
32502553,"Porcine circoviruses: current status, knowledge gaps and challenges.",10.1016/j.virusres.2020.198044
32502300,Clinical morbidity associated with Schistosoma haematobium infection in pre-school age children from an endemic district in Zimbabwe.,10.1111/tmi.13451
32470220,"Correspondence to ""Bronchiolitis needs a revisit: Distinguishing between virus entities and their treatments"".",10.1111/all.14193
32582300,Transcriptome Profiling of Pacu (Piaractus mesopotamicus) Challenged With Pathogenic Aeromonas hydrophila: Inference on Immune Gene Response.,10.3389/fgene.2020.00604
32548865,The UK Veterinary Immunological Toolbox Website: promoting vaccine research by facilitating communication and removing reagent barriers.,10.1111/imm.13227
32257152,Predictors of Epstein-Barr virus serostatus and implications for vaccine policy: A systematic review of the literature.,10.7189/jogh.10.010404
32566164,The role of viral co-infections in the severity of acute respiratory infections among children infected with respiratory syncytial virus (RSV): A systematic review and meta-analysis.,10.7189/jogh.10.010426
32571797,Identification of Common Deletions in the Spike Protein of Severe Acute Respiratory Syndrome Coronavirus 2.,10.1128/JVI.00790-20
32441626,No Adaptation of the Prion Strain in a Heterozygous Case of Variant Creutzfeldt-Jakob Disease.,10.3201/eid2606.191116
32482334,Feline Aging: Promoting Physiologic and Emotional Well-Being.,10.1016/j.cvsm.2020.03.004
32426124,Validating a GPS-based approach to detect health facility visits against maternal response to prompted recall survey.,10.7189/jogh.10.010602
32444460,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,10.1136/bmj.m1985
32393382,High frequency of benzimidazole resistance alleles in trichostrongyloids from Austrian sheep flocks in an alpine transhumance management system.,10.1186/s12917-020-02353-z
32314676,Lumpy Skin Disease Is Characterized by Severe Multifocal Dermatitis With Necrotizing Fibrinoid Vasculitis Following Experimental Infection.,10.1177/0300985820913268
32455097,"Outcomes, Microbiology and Antimicrobial Usage in Pressure Ulcer-Related Pelvic Osteomyelitis: Messages for Clinical Practice.",10.7150/jbji.41779
32454449,Microbial Stimulation Reverses the Age-Related Decline in M Cells in Aged Mice.,10.1016/j.isci.2020.101147
32375689,Clinical validation of full genotyping CLART® HPV4S assay on SurePath and ThinPrep collected screening samples according to the international guidelines for human papillomavirus test requirements for cervical screening.,10.1186/s12885-020-06888-0
32467237,Canonical Notch signaling controls the early thymic epithelial progenitor cell state and emergence of the medullary epithelial lineage in fetal thymus development.,10.1242/dev.178582
32420871,A helminth-derived suppressor of ST2 blocks allergic responses.,10.7554/eLife.54017
32364058,Cervical cancer screening - The challenges of complete pathways of care in low-income countries: Focus on Malawi.,10.1177/1745506520914804
32439900,Multi-ancestry GWAS of the electrocardiographic PR interval identifies 202 loci underlying cardiac conduction.,10.1038/s41467-020-15706-x
32356726,Hfq CLASH uncovers sRNA-target interaction networks linked to nutrient availability adaptation.,10.7554/eLife.54655
32401959,"Importation and early local transmission of COVID-19 in Brazil, 2020.",10.1590/s1678-9946202062030
32462712,The genetic architecture of maternal effects across ontogeny in the red deer.,10.1111/evo.14000
32414716,Drive-through testing in COVID-19: experience from NHS Lothian.,10.7861/clinmed.2020-0160
32499763,Epidemiology and Phylogenetic Analysis of Viral Respiratory Infections in Vietnam.,10.3389/fmicb.2020.00833
32408918,"Two cases of imported respiratory diphtheria in Edinburgh, Scotland, October 2019.",10.1017/S0950268820001028
32487494,Development of the gut microbiota in early life: The impact of cystic fibrosis and antibiotic treatment.,10.1016/j.jcf.2020.04.007
32469859,Phenotypic delay in the evolution of bacterial antibiotic resistance: Mechanistic models and their implications.,10.1371/journal.pcbi.1007930
32413142,"Genomic Analysis of European Drosophila melanogaster Populations Reveals Longitudinal Structure, Continent-Wide Selection, and Previously Unknown DNA Viruses.",10.1093/molbev/msaa120
32365256,Important concepts to consider in endometriosis surgical trials.,10.1111/1471-0528.16294
32442496,"Investigation of a gamasid mite infestation in a UK textile mill caused by Dermanyssus gallinae (DeGeer, 1778) (Mesostigmata: Dermanyssidae) special lineage L1.",10.1016/j.parint.2020.102146
32430825,Flow Cytometry-Based Assays to Quantify Complement Deposition and Neutrophil Uptake of Group A Streptococcus.,10.1007/978-1-0716-0467-0_17
32067351,Quality-quantity trade-offs drive functional trait evolution in a model microalgal 'climate change winner'.,10.1111/ele.13478
32461228,Protecting children in low-income and middle-income countries from COVID-19.,10.1136/bmjgh-2020-002844
32395245,Hypertonic saline nasal irrigation and gargling should be considered as a treatment option for COVID-19.,10.7189/jogh.10.010332
32449723,Monitoring Protein-RNA Interaction Dynamics in vivo at High Temporal Resolution using χCRAC.,10.3791/61027
32385047,Off the back burner: diverse and gender-inclusive decision-making for COVID-19 response and recovery.,10.1136/bmjgh-2020-002595
32423531,Predictable properties of fitness landscapes induced by adaptational tradeoffs.,10.7554/eLife.55155
32422996,Highly Conserved Homotrimer Cavity Formed by the SARS-CoV-2 Spike Glycoprotein: A Novel Binding Site.,10.3390/jcm9051473
32458974,Gradients Do Grow on Trees: A Linear-Time O(N)-Dimensional Gradient for Statistical Phylogenetics.,10.1093/molbev/msaa130
32400092,Non-genetic biomarkers and colorectal cancer risk: Umbrella review and evidence triangulation.,10.1002/cam4.3051
32429828,Bioelectrical understanding and engineering of cell biology.,10.1098/rsif.2020.0013
32354347,Infection with the sheep gastrointestinal nematode Teladorsagia circumcincta increases luminal pathobionts.,10.1186/s40168-020-00818-9
32304686,"A mathematical model shows macrophages delay Staphylococcus aureus replication, but limitations in microbicidal capacity restrict bacterial clearance.",10.1016/j.jtbi.2020.110256
32371268,Neural imaginaries at work: Exploring Australian addiction treatment providers' selective representations of the brain in clinical practice.,10.1016/j.socscimed.2020.112977
32191849,Lexis and Grammar of Mitochondrial RNA Processing in Trypanosomes.,10.1016/j.pt.2020.01.006
32238228,Metagenomic sequencing of clinical samples reveals a single widespread clone of Lawsonia intracellularis responsible for porcine proliferative enteropathy.,10.1099/mgen.0.000358
32269251,Stable isotopes reveal the importance of seabirds and marine foods in the diet of St Kilda field mice.,10.1038/s41598-020-62672-x
32064528,Absence of MeCP2 binding to non-methylated GT-rich sequences in vivo.,10.1093/nar/gkaa102
32241887,Computational design of probes to detect bacterial genomes by multivalent binding.,10.1073/pnas.1918274117
32317328,Modelling the pandemic.,10.1136/bmj.m1567
32309673,"Rationale and study design: A randomized controlled trial of early palliative care in newly diagnosed cancer patients in Addis Ababa, Ethiopia.",10.1016/j.conctc.2020.100564
32342962,Correction: Deformability-induced lift force in spiral microchannels for cell separation.,10.1039/d0lc90036b
30814299,Antigen-presenting ILC3 regulate T cell-dependent IgA responses to colonic mucosal bacteria.,10.1084/jem.20180871
32315287,Ebola virus glycoprotein stimulates IL-18-dependent natural killer cell responses.,10.1172/JCI132438
32339293,Regulating the regulator: nitric oxide control of post-translational modifications.,10.1111/nph.16622
32108371,Local proliferation of monocytes.,10.1002/JLB.1CE0220-534RR
32303624,Mcl-1 protects eosinophils from apoptosis and exacerbates allergic airway inflammation.,10.1136/thoraxjnl-2019-213204
32359424,"Genomic Epidemiology of SARS-CoV-2 in Guangdong Province, China.",10.1016/j.cell.2020.04.023
32341853,Frugal filtering optical lenses for point-of-care diagnostics.,10.1364/BOE.381014
32293914,Combined Mesenchymal Stromal Cell Therapy and Extracorporeal Membrane Oxygenation in Acute Respiratory Distress Syndrome. A Randomized Controlled Trial in Sheep.,10.1164/rccm.201911-2143OC
32375930,Conservation of Rhodococcus equi (Magnusson 1923) Goodfellow and Alderson 1977 and rejection of Rhodococcus hoagii (Morse 1912) Kämpfer et al. 2014.,10.1099/ijsem.0.004090
32284615,The proximal origin of SARS-CoV-2.,10.1038/s41591-020-0820-9
32353646,FALC stromal cells define a unique immunological niche for the surveillance of serous cavities.,10.1016/j.coi.2020.03.008
32294409,Stromal Cells Covering Omental Fat-Associated Lymphoid Clusters Trigger Formation of Neutrophil Aggregates to Capture Peritoneal Contaminants.,10.1016/j.immuni.2020.03.011
32329930,Handling of allergen immunotherapy in the COVID-19 pandemic: An ARIA-EAACI statement.,10.1111/all.14336
32362882,Identification of Complex Rumen Microbiome Interaction Within Diverse Functional Niches as Mechanisms Affecting the Variation of Methane Emissions in Bovine.,10.3389/fmicb.2020.00659
32318091,Changed Patterns of Genomic Variation Following Recent Domestication: Selection Sweeps in Farmed Atlantic Salmon.,10.3389/fgene.2020.00264
32275749,Role of Stenotrophomonas maltophilia isolation in patients with non-CF bronchiectasis.,10.1093/qjmed/hcaa120
32341514,A competing-risks model explains hierarchical spatial coupling of measles epidemics en route to national elimination.,10.1038/s41559-020-1186-6
32297849,Impact of COVID-19 on traditional healthcare-associated infection prevention efforts.,10.1017/ice.2020.141
32339302,EAACI Research and Outreach Committee: Improving standards and facilitating global collaboration through a Research Excellence Network.,10.1111/all.14340
32242065,The gut microbiome but not the resistome is associated with urogenital schistosomiasis in preschool-aged children.,10.1038/s42003-020-0859-7
32300217,Harnessing genomics to fast-track genetic improvement in aquaculture.,10.1038/s41576-020-0227-y
32266388,A Subgroup of Patients With Hospital-acquired Pneumonia Do Not Require Broad-spectrum Gram-negative Antimicrobial Coverage.,10.1093/cid/ciaa391
32277986,Long-term production effects of clinical cryptosporidiosis in neonatal calves.,10.1016/j.ijpara.2020.03.002
32279330,"Current perspective on eicosanoids in asthma and allergic diseases: EAACI Task Force consensus report, part I.",10.1111/all.14295
32351978,"Erysipelothrix Spp.: Past, Present, and Future Directions in Vaccine Research.",10.3389/fvets.2020.00174
32125330,Polymyxin-based photosensitizer for the potent and selective killing of Gram-negative bacteria.,10.1039/d0cc00155d
32250739,Inflammation-mediated generation and inflammatory potential of human placental cell-free fetal DNA.,10.1016/j.placenta.2020.02.016
32247865,A novel metabarcoded 18S ribosomal DNA sequencing tool for the detection of Plasmodium species in malaria positive patients.,10.1016/j.meegid.2020.104305
32087815,Global burden of respiratory infections associated with seasonal influenza in children under 5 years in 2018: a systematic review and modelling study.,10.1016/S2214-109X(19)30545-5
32310310,A Novel Eukaryote-Like CRISPR Activation Tool in Bacteria: Features and Capabilities.,10.1002/bies.201900252
32238408,A Systematic Analysis of Interactions between Environmental Risk Factors and Genetic Variation in Susceptibility to Colorectal Cancer.,10.1158/1055-9965.EPI-19-1328
32332221,Respiratory Syncytial Virus-related Death in Children With Down Syndrome: The RSV GOLD Study.,10.1097/INF.0000000000002666
32154939,Efficacy and safety of treatment with dupilumab for severe asthma: A systematic review of the EAACI guidelines-Recommendations on the use of biologicals in severe asthma.,10.1111/all.14268
32169935,Horizontal Spread of Rhodococcus equi Macrolide Resistance Plasmid pRErm46 across Environmental Actinobacteria.,10.1128/AEM.00108-20
32197104,Evidence informing the UK's COVID-19 public health response must be transparent.,10.1016/S0140-6736(20)30667-X
32211431,"EPIC, Scottish Government's Centre of Expertise in Animal Disease Outbreaks: A Model for Provision of Risk-Based Evidence to Policy.",10.3389/fvets.2020.00119
32229601,Multicenter Evaluation of QIAstat-Dx Respiratory Panel V2 for Detection of Viral and Bacterial Respiratory Pathogens.,10.1128/JCM.01793-19
32233040,Intranasal corticosteroids in allergic rhinitis in COVID-19 infected patients: An ARIA-EAACI statement.,10.1111/all.14302
32142827,"Research priorities for endometriosis differ among patients, clinicians, and researchers.",10.1016/j.ajog.2020.02.047
